"stock.code","name","date","time","open","high","low","close","volumw","turover","match_items","interest"
"600000.SH","浦发银行",20120316,151500000,66427,67073,66068,66427,72584563,672304020,14672,0
"600000.SH","浦发银行",20120319,151500000,66499,66930,66355,66643,50228036,466395760,11414,0
"600000.SH","浦发银行",20120320,151500000,66427,66499,65494,65494,62725576,575220520,16494,0
"600000.SH","浦发银行",20120321,151500000,65924,65996,64775,65206,51867060,471579970,15651,0
"600000.SH","浦发银行",20120322,151500000,65278,66140,64847,65494,38651197,352251180,10994,0
"600000.SH","浦发银行",20120323,151500000,65350,65494,64775,65063,35268448,319927040,10396,0
"600000.SH","浦发银行",20120326,151500000,64991,65853,64991,65565,33692849,306941850,7371,0
"600000.SH","浦发银行",20120327,151500000,65709,65853,65206,65494,27294640,249025230,7651,0
"600000.SH","浦发银行",20120328,151500000,65494,65637,64129,64416,43565307,394701420,13262,0
"600000.SH","浦发银行",20120329,151500000,64201,64632,63555,63698,48391415,432068890,12725,0
"600000.SH","浦发银行",20120330,151500000,64057,64416,63770,64129,50587012,451335930,8115,0
"600000.SH","浦发银行",20120405,151500000,63914,64273,63267,64129,76352001,677374500,17430,0
"600000.SH","浦发银行",20120406,151500000,64129,64345,63483,64201,56682481,504458930,11417,0
"600000.SH","浦发银行",20120409,151500000,63842,64201,63411,63483,34889828,309720480,7602,0
"600000.SH","浦发银行",20120410,151500000,63626,64129,63052,64057,45147000,399088170,14807,0
"600000.SH","浦发银行",20120411,151500000,63698,64273,63555,63842,39397074,350489710,8891,0
"600000.SH","浦发银行",20120412,151500000,63842,65637,63698,65494,64571634,581979210,17716,0
"600000.SH","浦发银行",20120413,151500000,65422,65709,64775,65637,61175666,556243000,14215,0
"600000.SH","浦发银行",20120416,151500000,65206,65494,64919,65063,38614798,350462990,12051,0
"600000.SH","浦发银行",20120417,151500000,65063,65278,64129,64129,49466011,444391600,10933,0
"600000.SH","浦发银行",20120418,151500000,64129,65637,64057,65494,67117990,607091630,13785,0
"600000.SH","浦发银行",20120419,151500000,65350,65781,65063,65494,48488000,441712580,10216,0
"600000.SH","浦发银行",20120420,151500000,65350,66930,65278,66858,77240835,714085570,19873,0
"600000.SH","浦发银行",20120423,151500000,66571,67002,66140,66355,41839068,387763890,13439,0
"600000.SH","浦发银行",20120424,151500000,66284,68582,66212,67361,113165453,1065629970,28166,0
"600000.SH","浦发银行",20120425,151500000,67073,67792,67002,67145,66489024,623235370,13544,0
"600000.SH","浦发银行",20120426,151500000,67648,67935,66786,67289,53826936,503917230,26936,0
"600000.SH","浦发银行",20120427,151500000,67433,67863,67145,67576,47114993,443152180,28187,0
"600000.SH","浦发银行",20120502,151500000,68079,68869,67576,68653,107696972,1023491920,23143,0
"600000.SH","浦发银行",20120503,151500000,68294,68582,67648,67935,60560075,574341320,12440,0
"600000.SH","浦发银行",20120504,151500000,68007,68222,67433,68151,71659892,677231230,13015,0
"600000.SH","浦发银行",20120507,151500000,67720,68079,67073,67648,82225733,773477050,38182,0
"600000.SH","浦发银行",20120508,151500000,67576,67648,66643,67217,86721348,810233950,70890,0
"600000.SH","浦发银行",20120509,151500000,66786,66858,65924,66068,65066893,600930020,15766,0
"600000.SH","浦发银行",20120510,151500000,66140,66355,65422,65781,67576254,619397960,14382,0
"600000.SH","浦发银行",20120511,151500000,65781,66284,65494,65781,35532729,325856890,9147,0
"600000.SH","浦发银行",20120514,151500000,66140,66284,65063,65206,70896633,648414480,18144,0
"600000.SH","浦发银行",20120515,151500000,64632,64991,64488,64919,60429994,544604560,14350,0
"600000.SH","浦发银行",20120516,151500000,64847,64847,63842,63985,75535741,676147540,20136,0
"600000.SH","浦发银行",20120517,151500000,64129,64775,63914,64416,43092663,386025710,12545,0
"600000.SH","浦发银行",20120518,151500000,64057,64057,63339,63626,61950167,549225590,16578,0
"600000.SH","浦发银行",20120521,151500000,63626,63985,63411,63698,46679612,413635870,11909,0
"600000.SH","浦发银行",20120522,151500000,63914,64416,63770,64345,67549651,602839650,11757,0
"600000.SH","浦发银行",20120523,151500000,64273,64345,63555,63842,61979794,552097470,15274,0
"600000.SH","浦发银行",20120524,151500000,63770,64201,63267,63555,49757216,441704160,10725,0
"600000.SH","浦发银行",20120525,151500000,63555,63626,62980,63124,45887776,404197690,35043,0
"600000.SH","浦发银行",20120528,151500000,63196,63770,62980,63698,52347656,461949290,13197,0
"600000.SH","浦发银行",20120529,151500000,63626,64488,63339,64273,93478648,831085290,38277,0
"600000.SH","浦发银行",20120530,151500000,64057,64129,63124,63339,88036486,779244020,28164,0
"600000.SH","浦发银行",20120531,151500000,63124,63196,62836,62980,67011196,587833130,17448,0
"600000.SH","浦发银行",20120601,151500000,63052,63483,62836,63052,42401677,372673960,11397,0
"600000.SH","浦发银行",20120604,151500000,62549,62549,61616,61687,69367973,599453520,24088,0
"600000.SH","浦发银行",20120605,151500000,61903,62046,61400,61472,69666907,598110560,19071,0
"600000.SH","浦发银行",20120606,151500000,61687,62334,61400,61903,49918846,429065870,11886,0
"600000.SH","浦发银行",20120607,151500000,62334,62477,61257,61472,48026408,413324680,13663,0
"600000.SH","浦发银行",20120608,151500000,61113,61257,59677,59892,140389731,1176530440,36070,0
"600000.SH","浦发银行",20120611,151500000,60036,60179,59677,59892,71644862,597652520,17977,0
"600000.SH","浦发银行",20120612,151500000,59677,59964,58815,59533,82431224,680814840,23604,0
"600000.SH","浦发银行",20120614,151500000,59605,59892,59246,59389,80017463,664166680,19981,0
"600000.SH","浦发银行",20120615,151500000,59677,61257,59533,60826,134216053,1129580240,29804,0
"600000.SH","浦发银行",20120618,151500000,60826,60897,60467,60754,50212960,424346820,13938,0
"600000.SH","浦发银行",20120619,151500000,60826,61328,60538,60969,47008304,398791950,12666,0
"600000.SH","浦发银行",20120620,151500000,61328,61831,60897,61041,50000107,427039910,13233,0
"600000.SH","浦发银行",20120621,151500000,61113,61113,60323,60610,39423884,332932080,10949,0
"600000.SH","浦发银行",20120625,151500000,60467,60897,59892,59964,52706596,443526590,13891,0
"600000.SH","浦发银行",20120626,151500000,60113,60485,59815,60038,39982538,323089660,11255,0
"600000.SH","浦发银行",20120627,151500000,60038,60262,59815,59964,26966055,217422020,8841,0
"600000.SH","浦发银行",20120628,151500000,59964,60113,59666,59666,28876449,232014020,8506,0
"600000.SH","浦发银行",20120629,151500000,59889,60783,59740,60560,50974236,412653790,15823,0
"600000.SH","浦发银行",20120702,151500000,60709,60709,59964,60262,43691987,353033250,13873,0
"600000.SH","浦发银行",20120703,151500000,60262,60709,60113,60262,40080965,324895950,9326,0
"600000.SH","浦发银行",20120704,151500000,60336,60932,60187,60485,39552477,321375920,9882,0
"600000.SH","浦发银行",20120705,151500000,60411,60485,59964,60113,33635896,271555070,9860,0
"600000.SH","浦发银行",20120706,151500000,58996,59368,58698,59368,115797069,917011450,24339,0
